Player,Team,Pos,Height,Weight,Birth Date,Age,Agency,Agent,Contractual Status,YOS
Caleb Houstan,Orlando Magic,SG,6-8,205,"Jan 9, 2003",22,Glushon Sports Management,Jason Glushon,"Orlando Magic, Jul 10, 2022",2
Jett Howard,Orlando Magic,SG,6-6,215,"Sep 14, 2003",21,CAA Sports,Dave Spahn,"Orlando Magic, Jul 1, 2023",1
Kevin Huerter,Chicago Bulls,G-F,6-7,198,"Aug 27, 1998",26,Priority Sports & Entertainment,"Mark Bartelstein
Andy Shiffman","Chicago Bulls, Oct 18, 2021",6
James Huff,Memphis Grizzlies,C,7-1,240,"Aug 25, 1997",27,,Michael Siegel,"Memphis Grizzlies, Oct 28, 2024",3
Elijah Hughes,Cleveland Charge,SG,6-5,215,"Mar 10, 1998",27,RBA Sports,"B.J. Bass
Cam Brennick",Unrestricted Free Agent,2
Ariel Hukporti,New York Knicks,C,6-11,246,"Apr 12, 2002",23,Wasserman,"Tadas Bulotas
Thaddeus Foucher
S Hausdorfer
Jason Ranne
Joe Smith","New York Knicks, Nov 5, 2024",0
Isaac Humphries,Adelaide,C,6-11,255,"Jan 5, 1998",27,Lighthouse Sports Management,Daniel Moldovan,Unrestricted Free Agent,1
Feron Hunt,Cleveland Charge,PF,6-8,195,"Jul 5, 1999",25,Young Money APAA,Adie von Gontard,Unrestricted Free Agent,2
De'Andre Hunter,Cleveland Cavaliers,F-G,6-8,221,"Dec 2, 1997",27,Wasserman,"Thaddeus Foucher
Joe Smith","Cleveland Cavaliers, Oct 17, 2022",5
Chandler Hutchison,Cleveland Charge,SG,6-6,210,"Apr 26, 1996",29,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller",Unrestricted Free Agent,4
Bones Hyland,Minnesota Timberwolves,PG,6-2,169,"Sep 14, 2000",24,NEXT Sports,Austin Walton,"Minnesota Timberwolves, Feb 27, 2025 Two-Way",3
Oso Ighodaro,Phoenix Suns,PF,7-0,235,"Jul 14, 2002",22,,Erika Ruiz,"Phoenix Suns, Jul 4, 2024",0
Joe Ingles,Minnesota Timberwolves,F-G,6-8,220,"Oct 2, 1987",37,Priority Sports & Entertainment,Mark Bartelstein,"Minnesota Timberwolves, Jul 6, 2024",10
Damien Inglis,Yokohama B-Corsairs,PF,6-8,246,"May 20, 1995",30,,Louis Trohel,Unrestricted Free Agent,2
Brandon Ingram,Toronto Raptors,PF,6-8,190,"Sep 2, 1997",27,Klutch Sports Group,"Mike George
Rich Paul
Shayaun Saee","Toronto Raptors, Feb 12, 2025",8
Harrison Ingram,San Antonio Spurs,SF,6-5,230,"Nov 27, 2002",22,Octagon,Alex Saratsis,Restricted Free Agent (San Antonio Spurs),0
Kyrie Irving,Dallas Mavericks,PG,6-2,195,"Mar 23, 1992",33,Shetellia Riley,Shetellia Riley,"Dallas Mavericks, Jul 7, 2023",13
Jonathan Isaac,Orlando Magic,PF,6-10,230,"Oct 3, 1997",27,,Jeffrey Wechsler,"Orlando Magic, Jul 6, 2024",7
Jaden Ivey,Detroit Pistons,SG,6-4,195,"Feb 13, 2002",23,CAA Sports,"Austin Brown
Max Saidman","Detroit Pistons, Jul 2, 2022",2
G.G. Jackson,Memphis Grizzlies,PF,6-9,210,"Dec 17, 2004",20,,"LaKeysha Alston
Donnell Bruce
John Williams","Memphis Grizzlies, Feb 9, 2024",1
Isaiah Jackson,Indiana Pacers,PF,6-9,205,"Jan 10, 2002",23,CAA Sports,"Melvin Booker
Drew Morrison
Sam Rose","Indiana Pacers, Aug 11, 2021",3
Andre Jackson Jr.,Milwaukee Bucks,SG,6-6,209,"Nov 13, 2001",23,WME Sports,Drew Gross,"Milwaukee Bucks, Jul 7, 2023",1
Jaren Jackson Jr.,Memphis Grizzlies,F-C,6-10,242,"Sep 15, 1999",25,CAA Sports,"Austin Brown
Max Saidman","Memphis Grizzlies, Oct 18, 2021",6
Pierre Jackson,Capitanes de Arecibo,PG,5-10,180,"Aug 29, 1991",33,,"Harrison Gaines
Charles Misuraca",Unrestricted Free Agent,1
Quenton Jackson,Indiana Pacers,SG,6-5,173,"Sep 15, 1998",26,,"Josh Hairston
Eugene Littles
Adie von Gontard",Restricted Free Agent (Indiana Pacers),2
Trayce Jackson-Davis,Golden State Warriors,PF,6-9,245,"Feb 22, 2000",25,Excel Sports Management,"James Dunleavy
Max Lipsett","Golden State Warriors, Jul 6, 2023",1
Bronny James,Los Angeles Lakers,PG,6-3,210,"Oct 6, 2004",20,Klutch Sports Group,"Mike Kneisley
Rich Paul","Los Angeles Lakers, Jul 2, 2024",0
Josiah James,Indiana Mad Ants,SG,6-6,214,"Sep 5, 2000",24,Excel Sports Management,Javon Phillips,Unrestricted Free Agent,0
LeBron James,Los Angeles Lakers,SF/PF,6-9,250,"Dec 30, 1984",40,Klutch Sports Group,Rich Paul,"Los Angeles Lakers, Jul 6, 2024",21
Stefan Jankovic,Calgary Surge,PF,6-11,235,"Aug 4, 1993",31,BDA Sports International,"Rade Filipovich
Tadas Gimzauskas",Unrestricted Free Agent,0
Jaime Jaquez Jr.,Miami Heat,SG,6-6,225,"Feb 18, 2001",24,CAA Sports,"Steven Heumann
Aaron Mintz","Miami Heat, Jul 1, 2023",1
DaQuan Jeffries,Charlotte Hornets,G-F,6-5,222,"Aug 30, 1997",27,WME Sports,"Bill Duffy
Erik Kabe","Charlotte Hornets, Oct 2, 2024",5
Trey Jemison,Los Angeles Lakers,C,6-11,270,"Nov 28, 1999",25,,Derrick Powell,"Los Angeles Lakers, Jan 15, 2025 Two-Way",1
Daniss Jenkins,Detroit Pistons,PG,6-3,165,"Aug 17, 2001",23,,John Noonan,Restricted Free Agent (Detroit Pistons),0
John Jenkins,Cangrejeros de Santurce,SG,6-4,206,"Mar 6, 1991",34,,Larry Fox,Unrestricted Free Agent,6
Ty Jerome,Cleveland Cavaliers,G-F,6-5,195,"Jul 8, 1997",27,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Cleveland Cavaliers, Jul 6, 2023",5
Chase Jeter,Capital City Go-Go,C,6-10,225,"Sep 19, 1997",27,,Tyrell Jamerson,Unrestricted Free Agent,0
Isaiah Joe,Oklahoma City Thunder,PG,6-3,165,"Jul 2, 1999",25,Michael Conley Sr.,"Michael Conley, Sr.","Oklahoma City Thunder, Jul 7, 2024",4
A.J. Johnson,Washington Wizards,SG,6-5,160,"Dec 1, 2004",20,WME Sports,"Bill Duffy
David Mondress","Washington Wizards, Jul 5, 2024",0
Brice Johnson,Nelson Giants,PF,6-10,230,"Jun 27, 1994",31,,Blake Reed,Unrestricted Free Agent,2
Cameron Johnson,Brooklyn Nets,PF,6-8,210,"Mar 3, 1996",29,CAA Sports,"Melvin Booker
Steven Heumann
Ty Sullivan","Brooklyn Nets, Jul 6, 2023",5
David Johnson,Tasmania,SG,6-4,203,"Feb 26, 2001",24,ProMondo Sports,"Matt Bollero
Jennifer Jacques-Miller",Restricted Free Agent (Toronto Raptors),1
Jalen Johnson,Atlanta Hawks,PF,6-8,219,"Dec 18, 2001",23,Klutch Sports Group,Lucas Newton,"Atlanta Hawks, Oct 21, 2024",3
James Johnson,Indiana Pacers,PF,6-7,240,"Feb 20, 1987",38,Priority Sports & Entertainment,Mark Bartelstein,"Indiana Pacers, Jul 25, 2024",15
Javan Johnson,Santa Cruz Warriors,SF,6-6,192,"Jan 5, 1999",26,,Amandeep Dhesi,Unrestricted Free Agent,0
Keldon Johnson,San Antonio Spurs,F-G,6-5,220,"Oct 11, 1999",25,Klutch Sports Group,Lucas Newton,"San Antonio Spurs, Jul 18, 2022",5
Keon Johnson,Brooklyn Nets,SG,6-5,185,"Mar 10, 2002",23,Klutch Sports Group,"Calvin Andrews
Anthony Fields","Brooklyn Nets, Jul 21, 2024",3
Keshad Johnson,Miami Heat,SF,6-7,225,"Jun 23, 2001",24,Verus Management,Aaron Turner,"Miami Heat, Dec 26, 2024",0
Keyontae Johnson,Greensboro Swarm,SF,6-4,230,"May 24, 2000",25,Priority Sports & Entertainment,"Ross Aroyo
Mark Bartelstein","Oklahoma City Thunder, Jul 7, 2023 Two-Way",1
Stanley Johnson,South Bay Lakers,F-G,6-6,242,"May 29, 1996",29,WME Sports,"Bill Duffy
Nima Namakian",Unrestricted Free Agent,8
Tyren Johnson,Dorados de Chihuahua,SF/PF,6-8,225,"Jul 24, 1988",36,,"Brian Elfus
Michael Siegel",Unrestricted Free Agent,0
Jarkel Joiner,College Park Skyhawks,PG,6-1,181,"May 21, 1999",26,,"Jamie Knox
Kevin Martin",Unrestricted Free Agent,0
Nikola Jokic,Denver Nuggets,C,6-11,284,"Feb 19, 1995",30,Excel Sports Management,"Mike Lindeman
Jeff Schwartz","Denver Nuggets, Jul 8, 2022",9
K.J. Jones II,Stockton Kings,SG,6-6,190,"Mar 31, 2001",24,,Duncan Lloyd,Unrestricted Free Agent,0
Colby Jones,Washington Wizards,SG,6-6,207,"May 28, 2002",23,Excel Sports Management,"Sean Kennedy
Jared Mucha",Unrestricted Free Agent,1
David Jones,Mexico City Capitanes,SF,6-6,210,"Nov 24, 2001",23,,Deirunas Visockas,Unrestricted Free Agent,0
Derrick Jones,Los Angeles Clippers,SF,6-6,210,"Feb 15, 1997",28,Klutch Sports Group,"Mike George
Rich Paul
Shayaun Saee","Los Angeles Clippers, Jul 9, 2024",8
Dillon Jones,Washington Wizards,SF,6-5,235,"Oct 29, 2001",23,Roc Nation Sports,Sam Permut,"Washington Wizards, Jul 6, 2024",0
Herb Jones,New Orleans Pelicans,SF,6-7,206,"Oct 6, 1998",26,Priority Sports & Entertainment,"Mark Bartelstein
Nate Oates
Kieran Piller","New Orleans Pelicans, Jul 6, 2023",3
Isaac Jones,Sacramento Kings,PF,6-9,245,"Jul 11, 2000",24,Wasserman,"Greg Lawrence
Tony Ronzone","Sacramento Kings, Mar 22, 2025",0
Kai Jones,Dallas Mavericks,C-F,6-11,221,"Jan 19, 2001",24,,John Anthony Spencer,"Dallas Mavericks, Mar 3, 2025 Two-Way",3
Mason Jones,Sacramento Kings,SG,6-4,200,"Jul 21, 1998",26,Equity Basketball,"Brandon Grier
Troy Payne
Mike Silverman","Sacramento Kings, Feb 9, 2024 Two-Way",3
Perry Jones,Osos de Manati,PF,6-11,235,"Sep 24, 1991",33,,"Harrison Gaines
Charles Misuraca",Unrestricted Free Agent,3
Shawn Jones,Marinos,PF,6-8,240,"Mar 25, 1992",33,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,0
Spencer Jones,Denver Nuggets,SF,6-7,225,"Jun 14, 2001",24,,Adam Godes,Restricted Free Agent (Denver Nuggets),0
Tevian Jones,Winnipeg Sea Bears,SG,6-7,200,"Jun 29, 2000",25,Summit Sports Group,Neal Rosenshein,Unrestricted Free Agent,0
Tre Jones,Chicago Bulls,PG,6-1,185,"Jan 8, 2000",25,LIFT Sports Management,"Kevin Bradbury
David Mondress","Chicago Bulls, Jul 18, 2023",4
Tyus Jones,Phoenix Suns,PG,6-1,196,"May 10, 1996",29,LIFT Sports Management,Kevin Bradbury,"Phoenix Suns, Jul 29, 2024",9
DeAndre Jordan,Denver Nuggets,C,6-11,265,"Jul 21, 1988",36,Excel Sports Management,Mike Lindeman,"Denver Nuggets, Jul 24, 2024",16
Cory Joseph,Orlando Magic,PG/SG,6-2,200,"Aug 20, 1991",33,Klutch Sports Group,Rich Paul,"Orlando Magic, Jul 19, 2024",13
Nikola Jovic,Miami Heat,PF,6-10,205,"Jun 9, 2003",22,Excel Sports Management,"Sean Kennedy
Jared Mucha
Misko Raznatovic","Miami Heat, Jul 2, 2022",2
Keshawn Justice,Salt Lake City Stars,SF,6-7,225,"Oct 22, 1999",25,,Niko Filipovich,Unrestricted Free Agent,0
Johnny Juzang,Utah Jazz,SG,6-5,226,"Mar 17, 2001",24,Glushon Sports Management,Jason Glushon,"Utah Jazz, Aug 12, 2024",2
Mfiondu Kabengele,Dubai,C,6-10,250,"Aug 14, 1997",27,,Sead Galijasevic,"Boston Celtics, Jul 16, 2022 Two-Way",3
Kenneth Kadji,Beirut Club,PF/C,6-11,242,"May 19, 1988",37,,Mario Scotti,Unrestricted Free Agent,0
Yuki Kawamura,Memphis Grizzlies,PG,5-8,159,"May 2, 2001",24,Wasserman,Tony Ronzone,"Memphis Grizzlies, Oct 19, 2024 Two-Way",0
Trevor Keels,Iowa Wolves,SG,6-4,221,"Aug 26, 2003",21,Klutch Sports Group,Mike Kneisley,Unrestricted Free Agent,1
Luke Kennard,Memphis Grizzlies,SG,6-5,206,"Jun 24, 1996",29,CAA Sports,"Steven Heumann
Aaron Mintz
Dave Spahn","Memphis Grizzlies, Jul 31, 2024",7
Walker Kessler,Utah Jazz,C,7-0,245,"Jul 26, 2001",23,CAA Sports,"Houston Kessler
Aaron Mintz
Dave Spahn","Utah Jazz, Jul 9, 2022",2
Braxton Key,Golden State Warriors,PF,6-8,225,"Feb 14, 1997",28,Entersport,Eric Fleisher,"Golden State Warriors, Apr 13, 2025",3
Louis King,Criollos de Caguas,SF,6-7,205,"Apr 6, 1999",26,GSL Sports Group,George Langberg,"Philadelphia Sixers, Dec 26, 2022 Two-Way",4
Taevion Kinsey,Salt Lake City Stars,SG,6-5,190,"Mar 10, 2000",25,Rize Management,Scott Wong Nichols,Unrestricted Free Agent,1
Corey Kispert,Washington Wizards,SF,6-6,224,"Mar 3, 1999",26,Priority Sports & Entertainment,"Mark Bartelstein
Andy Shiffman","Washington Wizards, Oct 21, 2024",3
Maxi Kleber,Los Angeles Lakers,PF,6-10,240,"Jan 29, 1992",33,CAA Sports,"Drew Morrison
Jan Rohdewald","Los Angeles Lakers, Sep 8, 2022",7
Bobi Klintman,Detroit Pistons,PF,6-9,225,"Mar 6, 2003",22,Excel Sports Management,Max Lipsett,"Detroit Pistons, Jul 12, 2024",0
Dalton Knecht,Los Angeles Lakers,SF,6-6,215,"Apr 19, 2001",24,Excel Sports Management,"Anthony Coleman
Mike Lindeman","Los Angeles Lakers, Jul 2, 2024",0
Brandon Knight,Capitanes de Arecibo,PG/SG,6-2,182,"Dec 2, 1991",33,Bell Management International,Joel Bell,Unrestricted Free Agent,10
Kevin Knox II,Golden State Warriors,PF,6-8,215,"Aug 11, 1999",25,Verus Management,Aaron Turner,"Golden State Warriors, Mar 23, 2025",6
Tyler Kolek,New York Knicks,PG,6-3,195,"Mar 27, 2001",24,Priority Sports & Entertainment,"Mark Bartelstein
George Roussakis","New York Knicks, Jul 4, 2024",0
Christian Koloko,Los Angeles Lakers,C,7-0,225,"Jun 20, 2000",25,Klutch Sports Group,Calvin Andrews,Restricted Free Agent (Los Angeles Lakers),2
John Konchar,Memphis Grizzlies,SG,6-5,210,"Mar 22, 1996",29,GSL Sports Group,George Langberg,"Memphis Grizzlies, Jul 7, 2022",5
Miller Kopp,Oklahoma City Blue,SF,6-7,220,"Nov 24, 1998",26,ProMondo Sports,"Matt Bollero
Deborah Kopp",Unrestricted Free Agent,0
Luke Kornet,Boston Celtics,C-F,7-1,250,"Jul 15, 1995",29,Gersh Sports,Maxwell Wiepking,"Boston Celtics, Jul 2, 2024",7
Vit Krejci,Atlanta Hawks,SG,6-8,195,"Jun 19, 2000",25,,"Phillip Parun
Alex Saratsis","Atlanta Hawks, Jul 12, 2024",3
Jonathan Kuminga,Golden State Warriors,SF,6-7,225,"Oct 6, 2002",22,Verus Management,Aaron Turner,"Golden State Warriors, Aug 3, 2021",3
Kyle Kuzma,Milwaukee Bucks,PF,6-9,221,"Jul 24, 1995",29,CAA Sports,Austin Brown,"Milwaukee Bucks, Jul 7, 2023",7
Skal Labissiere,Stockton Kings,F-C,6-10,235,"Mar 18, 1996",29,Hazan Sports Management,Daniel Hazan,Unrestricted Free Agent,4
Jock Landale,Houston Rockets,C,6-11,255,"Oct 25, 1995",29,Sports International Group Inc.,Sammy Wloszczowski,"Houston Rockets, Jul 6, 2023",3
Jake LaRavia,Sacramento Kings,SF,6-7,235,"Nov 3, 2001",23,AMR Agency,Aaron Reilly,"Sacramento Kings, Jul 1, 2022",2
Pelle Larsson,Miami Heat,SG,6-5,215,"Feb 23, 2001",24,,Daniel Poneman,"Miami Heat, Jul 2, 2024",0
Zach LaVine,Sacramento Kings,SG,6-5,200,"Mar 10, 1995",30,Klutch Sports Group,"Lucas Newton
Rich Paul","Sacramento Kings, Jul 7, 2022",10
A.J. Lawson,Toronto Raptors,SG,6-6,179,"Jul 15, 2000",24,Life Sports Agency,"Todd Ramasar
Mike Simonetta","Toronto Raptors, Apr 12, 2025",2
T.J. Leaf,Maccabi FOX Tel Aviv,PF,6-10,225,"Apr 30, 1997",28,Excel Sports Management,"Jordan Gertler
Sam Goldfeder
Sonny Xiao","Portland Trail Blazers, Apr 13, 2021 Two-Way",4
Ricky Ledo,Trotamundos,SG,6-7,197,"Sep 10, 1992",32,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,2
Damion Lee,Phoenix Suns,G-F,6-6,210,"Oct 21, 1992",32,CAA Sports,"Austin Brown
Dave Spahn","Phoenix Suns, Jul 3, 2024",7
Saben Lee,Olympiacos,PG,6-2,183,"Jun 23, 1999",26,Wasserman,Darren Matsubara,"Phoenix Suns, Jul 12, 2023 Two-Way",4
Alex Len,Los Angeles Lakers,C,7-0,250,"Jun 16, 1993",32,Sports International Group Inc.,Michael (Boris) Lelchitski,"Los Angeles Lakers, Feb 11, 2025",11
Kawhi Leonard,Los Angeles Clippers,SF,6-7,225,"Jun 29, 1991",34,Impact Sports Management,Mitch Frankel,"Los Angeles Clippers, Jan 10, 2024",13
Malevy Leons,Oklahoma City Blue,PF,6-9,210,"Sep 23, 1999",25,One Motive Sports,"Drew Kelso
Vlad Moldoveanu",Unrestricted Free Agent,0
Caris LeVert,Atlanta Hawks,SG,6-6,205,"Aug 25, 1994",30,Priority Sports & Entertainment,Mark Bartelstein,"Atlanta Hawks, Jul 6, 2023",8
Jalen Lewis,Wisconsin Herd,PF,6-10,223,"May 21, 2005",20,Goodwin Sports Management,Aaron Goodwin,Unrestricted Free Agent,0
JeQuan Lewis,BC Igokea,PG,6-0,170,"Sep 7, 1994",30,,Louis Trohel,Unrestricted Free Agent,0
Kira Lewis Jr.,Capital City Go-Go,PG,6-1,170,"Apr 6, 2001",24,CAA Sports,"Richard Beda
Austin Brown
Aaron Mintz
Max Saidman",Unrestricted Free Agent,4
Justin Lewis,Delaware Blue Coats,SF,6-7,245,"Apr 12, 2002",23,UNLTD Sports Group,"Nick Blatchford
Derek Jackson",Unrestricted Free Agent,2
E.J. Liddell,Chicago Bulls,SF,6-6,240,"Dec 18, 2000",24,Priority Sports & Entertainment,Andy Shiffman,"Chicago Bulls, Oct 18, 2024 Two-Way",2
Damian Lillard,Milwaukee Bucks,PG,6-2,195,"Jul 15, 1990",34,Goodwin Sports Management,Aaron Goodwin,"Milwaukee Bucks, Jul 9, 2022",12
Scottie Lindsey,Edmonton Stingers,SG,6-5,210,"May 20, 1996",29,Andy Bountogianis,Andy Bountogianis,Unrestricted Free Agent,0
Nassir Little,Sioux Falls Skyforce,F-G,6-6,220,"Feb 11, 2000",25,Pensack Sports,Adam Pensack,Unrestricted Free Agent,5
Dereck Lively II,Dallas Mavericks,C,7-1,230,"Feb 12, 2004",21,Klutch Sports Group,"Josh Hairston
Rich Paul","Dallas Mavericks, Jul 8, 2023",1
Chris Livingston,Milwaukee Bucks,SF,6-6,220,"Oct 15, 2003",21,Klutch Sports Group,"Brandon Cavanaugh
Rich Paul","Milwaukee Bucks, Jul 8, 2023",1
Zach Lofton,Sagesse Al Hekmeh Beirut,SG,6-4,180,"Nov 18, 1992",32,Slash Sports & Entertainment,Charles Misuraca,Unrestricted Free Agent,1
Kevon Looney,Golden State Warriors,PF,6-9,222,"Feb 6, 1996",29,Life Sports Agency,Todd Ramasar,"Golden State Warriors, Jul 9, 2022",9
Brook Lopez,Milwaukee Bucks,C,7-1,282,"Apr 1, 1988",37,Wasserman,Darren Matsubara,"Milwaukee Bucks, Jul 6, 2023",16
Didi Louzada,Hitachi Sun Rockers,SF,6-5,215,"Jul 2, 1999",25,,Aylton Tesch,"Cleveland Cavaliers, Oct 17, 2022 Two-Way",2
Kevin Love,Miami Heat,PF/C,6-8,251,"Sep 7, 1988",36,Excel Sports Management,"Sam Goldfeder
Jeff Schwartz","Miami Heat, Jul 6, 2024",16
Kyle Lowry,Philadelphia Sixers,PG,6-0,196,"Mar 25, 1986",39,Priority Sports & Entertainment,Mark Bartelstein,"Philadelphia Sixers, Jul 12, 2024",18
Seth Lundy,Los Angeles Clippers,G-F,6-4,220,"Apr 2, 2000",25,Prodigy Sports Grooup,Paolo Zamorano,"Los Angeles Clippers, Mar 1, 2025 Two-Way",1
Trey Lyles,Sacramento Kings,PF,6-9,234,"Nov 5, 1995",29,Klutch Sports Group,Rich Paul,"Sacramento Kings, Jul 7, 2023",9
Will Magnay,Tasmania,C,6-10,234,"Jun 10, 1998",27,Priority Sports & Entertainment,Mark Bartelstein,Unrestricted Free Agent,1
Thon Maker,Sporting Al Riyadi Beirut,F-C,7-0,221,"Feb 25, 1997",28,Klutch Sports Group,"Mike George
Jeff Schwartz",Unrestricted Free Agent,5
Theo Maledon,Real Madrid,SG,6-4,175,"Jun 12, 2001",24,,Doug Neustadt,Unrestricted Free Agent,4
Sandro Mamukelashvili,San Antonio Spurs,F-C,6-9,240,"May 23, 1999",26,Priority Sports & Entertainment,George Roussakis,"San Antonio Spurs, Jul 22, 2024",3
Karim Mane,Calgary Surge,PG,6-4,205,"May 16, 2000",25,Entersport,Eric Fleisher,Unrestricted Free Agent,1
Kyle Mangas,Vancouver Bandits,SG,6-4,200,"Apr 8, 1999",26,,Jeff Potter,Unrestricted Free Agent,0
Terance Mann,Atlanta Hawks,G-F,6-5,215,"Oct 18, 1996",28,CAA Sports,"Richard Beda
Romello Crowell
Aaron Mintz","Atlanta Hawks, Oct 1, 2024",5
Tre Mann,Charlotte Hornets,PG,6-3,178,"Feb 3, 2001",24,Hazan Sports Management,"Daniel Hazan
Aaron Turner","Charlotte Hornets, Aug 7, 2021",3
Lauri Markkanen,Utah Jazz,F-C,7-0,240,"May 22, 1997",28,Sports International Group Inc.,Michael (Boris) Lelchitski,"Utah Jazz, Aug 7, 2024",7
Naji Marshall,Dallas Mavericks,SF,6-6,220,"Jan 24, 1998",27,UNLTD Sports Group,Derek Jackson,"Dallas Mavericks, Jul 6, 2024",4
Caleb Martin,Dallas Mavericks,SF,6-5,205,"Sep 28, 1995",29,Entersport,Eric Fleisher,"Dallas Mavericks, Jul 6, 2024",5
Cody Martin,Phoenix Suns,SF,6-6,205,"Sep 28, 1995",29,Entersport,Eric Fleisher,"Phoenix Suns, Jul 6, 2022",5
Jaylen Martin,Washington Wizards,SG,6-6,216,"Jan 28, 2004",21,Valor Sports Agency (VSA),"Deddrick Faison
Rich Gray","Washington Wizards, Feb 8, 2025 Two-Way",1
K.J. Martin,Utah Jazz,SF,6-6,215,"Jan 6, 2001",24,CAA Sports,Aaron Mintz,"Utah Jazz, Jul 15, 2024",4
Tyrese Martin,Brooklyn Nets,SF,6-6,215,"Mar 7, 1999",26,UNLTD Sports Group,Nick Blatchford,"Brooklyn Nets, Feb 20, 2025",1
Frank Mason,Leones de Ponce,PG,5-11,190,"Apr 3, 1994",31,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,4
Yante Maten,Sanen Neophoenix,PF,6-7,240,"Aug 14, 1996",28,,"Alexis Liatsos
Todd Ramasar",Unrestricted Free Agent,1
Garrison Mathews,Atlanta Hawks,SG,6-6,215,"Oct 24, 1996",28,The Familie,"David Bauman
Chris Patrick","Atlanta Hawks, Dec 18, 2021",5
Dakota Mathias,Indiana Mad Ants,SG,6-4,200,"Jul 11, 1995",29,Priority Sports & Entertainment,Andy Shiffman,Unrestricted Free Agent,2
Bennedict Mathurin,Indiana Pacers,G-F,6-5,210,"Jun 19, 2002",23,Innovate Sports Group,Nima Namakian,"Indiana Pacers, Jul 3, 2022",2
Karlo Matkovic,New Orleans Pelicans,F-C,6-10,231,"Mar 30, 2001",24,Excel Sports Management,"Jared Mucha
Misko Raznatovic","New Orleans Pelicans, Jul 13, 2024",0
Charles Matthews,Memphis Hustle,SG,6-6,205,"Nov 15, 1996",28,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,0
Tyrese Maxey,Philadelphia Sixers,PG,6-2,200,"Nov 4, 2000",24,Klutch Sports Group,Rich Paul,"Philadelphia Sixers, Jul 7, 2024",4
Skylar Mays,Iowa Wolves,PG,6-3,205,"Sep 5, 1997",27,Priority Sports & Entertainment,Kieran Piller,"Los Angeles Lakers, Jan 8, 2024 Two-Way",4
Miles McBride,New York Knicks,PG,6-1,195,"Sep 8, 2000",24,Priority Sports & Entertainment,Andy Shiffman,"New York Knicks, Dec 30, 2023",3
Jared McCain,Philadelphia Sixers,PG,6-3,195,"Feb 20, 2004",21,Excel Sports Management,James Dunleavy,"Philadelphia Sixers, Jul 4, 2024",0
Patrick McCaw,Delaware Blue Coats,SG,6-7,181,"Oct 25, 1995",29,RBA Sports,"B.J. Bass
Cam Brennick",Unrestricted Free Agent,5
Mac McClung,Orlando Magic,PG,6-2,185,"Jan 6, 1999",26,Wasserman,Greg Lawrence,Restricted Free Agent (Orlando Magic),2
C.J. McCollum,New Orleans Pelicans,SG/PG,6-3,190,"Sep 19, 1991",33,Excel Sports Management,"Sam Goldfeder
Jeff Schwartz","New Orleans Pelicans, Sep 26, 2022",11
Caleb McConnell,Greensboro Swarm,SG,6-7,195,"Jun 8, 1999",26,ProMondo Sports,Matt Bollero,Unrestricted Free Agent,0
T.J. McConnell,Indiana Pacers,PG,6-1,190,"Mar 25, 1992",33,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Indiana Pacers, Sep 3, 2024",9
Erik McCree,Leones de Ponce,PF,6-8,228,"Dec 20, 1993",31,Benalloul Sports Management,Zac Benalloul,"Utah Jazz, Dec 21, 2017 Two-Way",1
Kevin McCullar Jr.,New York Knicks,SG,6-6,210,"Mar 15, 2001",24,WME Sports,"Bill Duffy
Isiah Turner",Restricted Free Agent (New York Knicks),0
Jaden McDaniels,Minnesota Timberwolves,PF,6-9,185,"Sep 29, 2000",24,WME Sports,"Bill Duffy
Nima Namakian","Minnesota Timberwolves, Oct 23, 2023",4
Jalen McDaniels,Capital City Go-Go,PF,6-9,190,"Jan 31, 1998",27,WME Sports,"Bill Duffy
Nima Namakian",Unrestricted Free Agent,5
Doug McDermott,Sacramento Kings,SF,6-6,225,"Jan 3, 1992",33,Priority Sports & Entertainment,Mark Bartelstein,"Sacramento Kings, Oct 16, 2024",10
JaVale McGee,Vaqueros de Bayamon,C/PF,7-0,270,"Jan 19, 1988",37,Wasserman,Tony Ronzone,Unrestricted Free Agent (Sacramento Kings),16
Gabe McGlothan,Grand Rapids Gold,SF,6-7,235,"Mar 3, 1999",26,Summit Sports Group,Neal Rosenshein,Unrestricted Free Agent,0
Bryce McGowens,Portland Trail Blazers,SG,6-6,190,"Nov 8, 2002",22,Priority Sports & Entertainment,Kyle McAlarney,"Portland Trail Blazers, Jul 11, 2024 Two-Way",2
Cameron McGriff,Edmonton Stingers,SF,6-7,220,"Sep 30, 1997",27,,"Stacey Leawood
Colby Schinto",Unrestricted Free Agent,1
Jordan McLaughlin,San Antonio Spurs,PG,6-0,185,"Apr 9, 1996",29,Wasserman,Greg Lawrence,"San Antonio Spurs, Jul 9, 2024",5
Jack McVeigh,Houston Rockets,G-F,6-8,215,"Jun 27, 1996",29,,Marquis Taylor,"Houston Rockets, Jul 25, 2024 Two-Way",0
